title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude
 ,2500000,400,6250.0,Badlapur,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.15452766,73.23560333
 ,2200000,550,4000.0,Mumbra,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.16859055,73.02204132
 ,2600000,535,4859.813084112149,Vasai,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.39635086,72.86195374
 ,3000000,699,4291.845493562232,Ambernath,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.18672943,73.19139099
K Raheja Maple Leaf,16500000,750,22000.0,Powai,Mumbai,Apartment,1,2,0,Semi-Furnished,15,1,19.11713028,72.89370728
K Raheja Vistas,33200000,1104,30072.463768115944,Powai,Mumbai,Apartment,3,2,0,Semi-Furnished,7,1,19.1196804,72.89414978
 ,11000000,1000,11000.0,Koper Khairane,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.10186005,73.00868225
Juhi Bhumika Residency,14400000,1625,8861.538461538461,Kalamboli,Mumbai,Apartment,3,3,0,Semi-Furnished,11,1,19.0367775,73.09087372
Platinum The Springs,11500000,1330,8646.616541353384,Kalamboli,Mumbai,Apartment,2,2,0,Semi-Furnished,11,1,19.0371151,73.08891296
Sai Avaneesh,10800000,1139,9482.00175592625,Kalamboli,Mumbai,Apartment,2,2,0,Semi-Furnished,9,1,19.0348835,73.0936203
Skyline Poseidon,36000000,1050,34285.71428571428,Andheri,Mumbai,Apartment,3,3,0,Semi-Furnished,14,1,19.14082718,72.81272888
Royal Palms Ruby Isle,5500000,540,10185.185185185184,Goregaon,Mumbai,Apartment,1,1,0,Unfurnished,11,1,19.1553669,72.88744354
The Goyal Sea Rock,9500001,600,15833.335,Borivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.231287,72.85652161
 ,2600000,415,6265.060240963855,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.2219944,73.08733368
Reputed Builder Rameshwar Darshan,3200000,412,7766.9902912621355,Andheri,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.22118759,73.09005737
 ,3300000,420,7857.142857142857,Dombivli,Mumbai,Apartment,1,1,0,Furnished,8,1,19.2196312,73.08188629
 ,3800000,557,6822.262118491921,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.23182487,73.08622742
 ,3900000,585,6666.666666666667,Dombivli,Mumbai,Apartment,1,1,0,Semi-Furnished,8,1,19.21722984,73.08430481
